"lon","lat"
103.8292,1.4708
103.7958,1.4625
103.8042,1.4625
103.8125,1.4625
103.8208,1.4625
103.8292,1.4625
103.8375,1.4625
103.7792,1.4542
103.7875,1.4542
103.7958,1.4542
103.8042,1.4542
103.8125,1.4542
103.8208,1.4542
103.8292,1.4542
103.8375,1.4542
103.8458,1.4542
103.7125,1.4458
103.7208,1.4458
103.7292,1.4458
103.7708,1.4458
103.7792,1.4458
103.7875,1.4458
103.7958,1.4458
103.8042,1.4458
103.8125,1.4458
103.8208,1.4458
103.8292,1.4458
103.8375,1.4458
103.8458,1.4458
103.8542,1.4458
103.7042,1.4375
103.7125,1.4375
103.7208,1.4375
103.7292,1.4375
103.7375,1.4375
103.7458,1.4375
103.7542,1.4375
103.7625,1.4375
103.7708,1.4375
103.7792,1.4375
103.7875,1.4375
103.7958,1.4375
103.8042,1.4375
103.8125,1.4375
103.8208,1.4375
103.8292,1.4375
103.8375,1.4375
103.8458,1.4375
103.8542,1.4375
103.6792,1.4292
103.6875,1.4292
103.6958,1.4292
103.7042,1.4292
103.7125,1.4292
103.7208,1.4292
103.7292,1.4292
103.7542,1.4292
103.7625,1.4292
103.7708,1.4292
103.7792,1.4292
103.7875,1.4292
103.7958,1.4292
103.8042,1.4292
103.8125,1.4292
103.8208,1.4292
103.8292,1.4292
103.8375,1.4292
103.8458,1.4292
103.8542,1.4292
104.0458,1.4292
104.0542,1.4292
104.0625,1.4292
104.0708,1.4292
103.6792,1.4208
103.6875,1.4208
103.6958,1.4208
103.7042,1.4208
103.7125,1.4208
103.7208,1.4208
103.7292,1.4208
103.7458,1.4208
103.7542,1.4208
103.7625,1.4208
103.7708,1.4208
103.7792,1.4208
103.7875,1.4208
103.7958,1.4208
103.8042,1.4208
103.8125,1.4208
103.8208,1.4208
103.8292,1.4208
103.8375,1.4208
103.8458,1.4208
103.8542,1.4208
103.8625,1.4208
103.8708,1.4208
103.9125,1.4208
103.9292,1.4208
103.9375,1.4208
103.9458,1.4208
104.0375,1.4208
104.0458,1.4208
104.0542,1.4208
104.0625,1.4208
104.0708,1.4208
104.0792,1.4208
103.6708,1.4125
103.6792,1.4125
103.6875,1.4125
103.6958,1.4125
103.7042,1.4125
103.7375,1.4125
103.7458,1.4125
103.7542,1.4125
103.7625,1.4125
103.7708,1.4125
103.7792,1.4125
103.7875,1.4125
103.7958,1.4125
103.8042,1.4125
103.8125,1.4125
103.8208,1.4125
103.8292,1.4125
103.8375,1.4125
103.8458,1.4125
103.8542,1.4125
103.8625,1.4125
103.8708,1.4125
103.8792,1.4125
103.8875,1.4125
103.9042,1.4125
103.9125,1.4125
103.9458,1.4125
103.9542,1.4125
103.9625,1.4125
103.9708,1.4125
103.9792,1.4125
103.9875,1.4125
104.0375,1.4125
104.0458,1.4125
104.0542,1.4125
104.0625,1.4125
104.0708,1.4125
104.0792,1.4125
103.6708,1.4042
103.6792,1.4042
103.6875,1.4042
103.6958,1.4042
103.7042,1.4042
103.7125,1.4042
103.7208,1.4042
103.7375,1.4042
103.7458,1.4042
103.7542,1.4042
103.7625,1.4042
103.7708,1.4042
103.7792,1.4042
103.7875,1.4042
103.7958,1.4042
103.8042,1.4042
103.8125,1.4042
103.8208,1.4042
103.8542,1.4042
103.8625,1.4042
103.8708,1.4042
103.8792,1.4042
103.8875,1.4042
103.8958,1.4042
103.9042,1.4042
103.9125,1.4042
103.9625,1.4042
103.9708,1.4042
104.0375,1.4042
104.0458,1.4042
104.0542,1.4042
104.0625,1.4042
104.0708,1.4042
104.0792,1.4042
103.6625,1.3958
103.6708,1.3958
103.6792,1.3958
103.6875,1.3958
103.6958,1.3958
103.7042,1.3958
103.7125,1.3958
103.7208,1.3958
103.7292,1.3958
103.7375,1.3958
103.7458,1.3958
103.7542,1.3958
103.7625,1.3958
103.7708,1.3958
103.7792,1.3958
103.7875,1.3958
103.7958,1.3958
103.8042,1.3958
103.8125,1.3958
103.8208,1.3958
103.8292,1.3958
103.8375,1.3958
103.8458,1.3958
103.8542,1.3958
103.8625,1.3958
103.8708,1.3958
103.8792,1.3958
103.8875,1.3958
103.8958,1.3958
103.9042,1.3958
103.9125,1.3958
103.9292,1.3958
104.0458,1.3958
104.0542,1.3958
104.0625,1.3958
104.0708,1.3958
104.0792,1.3958
103.6625,1.3875
103.6708,1.3875
103.6792,1.3875
103.6875,1.3875
103.6958,1.3875
103.7042,1.3875
103.7125,1.3875
103.7208,1.3875
103.7292,1.3875
103.7375,1.3875
103.7458,1.3875
103.7542,1.3875
103.7625,1.3875
103.7708,1.3875
103.7792,1.3875
103.7875,1.3875
103.7958,1.3875
103.8042,1.3875
103.8125,1.3875
103.8208,1.3875
103.8292,1.3875
103.8375,1.3875
103.8458,1.3875
103.8542,1.3875
103.8625,1.3875
103.8708,1.3875
103.8792,1.3875
103.8875,1.3875
103.8958,1.3875
103.9042,1.3875
103.9125,1.3875
103.9208,1.3875
103.9292,1.3875
103.9375,1.3875
103.9708,1.3875
103.9792,1.3875
103.9875,1.3875
103.9958,1.3875
104.0458,1.3875
104.0542,1.3875
104.0625,1.3875
103.6792,1.3792
103.6875,1.3792
103.6958,1.3792
103.7042,1.3792
103.7125,1.3792
103.7208,1.3792
103.7292,1.3792
103.7375,1.3792
103.7458,1.3792
103.7542,1.3792
103.7625,1.3792
103.7708,1.3792
103.7792,1.3792
103.7875,1.3792
103.7958,1.3792
103.8042,1.3792
103.8125,1.3792
103.8208,1.3792
103.8292,1.3792
103.8375,1.3792
103.8458,1.3792
103.8542,1.3792
103.8625,1.3792
103.8708,1.3792
103.8792,1.3792
103.8875,1.3792
103.8958,1.3792
103.9042,1.3792
103.9125,1.3792
103.9208,1.3792
103.9292,1.3792
103.9375,1.3792
103.9458,1.3792
103.9542,1.3792
103.9625,1.3792
103.9708,1.3792
103.9792,1.3792
103.9875,1.3792
103.9958,1.3792
104.0042,1.3792
103.6625,1.3708
103.6792,1.3708
103.6875,1.3708
103.6958,1.3708
103.7042,1.3708
103.7125,1.3708
103.7208,1.3708
103.7292,1.3708
103.7375,1.3708
103.7458,1.3708
103.7542,1.3708
103.7625,1.3708
103.7708,1.3708
103.7792,1.3708
103.7875,1.3708
103.7958,1.3708
103.8042,1.3708
103.8125,1.3708
103.8208,1.3708
103.8292,1.3708
103.8375,1.3708
103.8458,1.3708
103.8542,1.3708
